task_id,title,description,created_at,due_date,estimated_hours,actual_hours,assigned_user,status,task_type,priority,priority_score,tags,user_workload_hours,days_until_due,is_overdue
TASK-1001,Update doc update documentation for payment/login flow,"This task involves implementing a new feature related to payment. Expected steps: design, implementation.",2025-09-15 16:37:36,2025-10-07 16:37:36,29.9,34.4,user_19,in_progress,bug,high,29.45,security,36.1,22,1
TASK-1002,Refactor optimization in API/ETL,"This task involves implementing performance improvement related to API. Expected steps: investigation, fix, release.",2025-09-17 21:09:26,2025-09-18 21:09:26,30.6,29.3,user_14,open,feature,high,39.7,"backend,ci",22.8,1,1
TASK-1003,Write doc update for notifications/reporting,"This task involves fixing performance improvement related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-22 19:00:38,2025-10-05 19:00:38,4.1,4.9,user_21,in_progress,documentation,high,27.71,"backend,frontend,docs",46.4,13,1
TASK-1004,Fix optimization in API/checkout module,"This task involves writing performance improvement related to API. Expected steps: investigation, fix, release.",2025-08-29 11:28:42,2025-09-10 11:28:42,9.2,13.4,user_30,in_progress,bug,high,41.89,security,43.7,12,1
TASK-1005,Implement doc update for profile/search ranking feature,"This task involves updating an API change related to profile. Expected steps: design, implementation.",2025-09-14 03:17:22,2025-10-11 03:17:22,31.0,28.8,user_27,open,documentation,high,29.71,docs,54.8,27,1
TASK-1006,Refactor optimization in notifications/endpoint,"This task involves researching performance improvement related to notifications. Expected steps: design, implementation.",2025-09-01 13:04:52,2025-09-09 13:04:52,30.1,28.0,user_24,in_progress,research,high,45.52,bugfix,30.6,8,1
TASK-1007,Fix feature in auth/checkout module,"This task involves updating a new feature related to auth. Expected steps: write tests, refactor, deploy.",2025-09-11 11:46:54,2025-09-24 11:46:54,15.9,23.4,,in_progress,research,high,37.48,backend,40.9,13,1
TASK-1008,Refactor bug in database/email flow,"This task involves writing performance improvement related to database. Expected steps: design, implementation.",2025-09-07 05:02:54,2025-10-01 05:02:54,35.2,43.3,user_17,blocked,research,high,38.1,"research,security,docs",9.2,24,1
TASK-1009,Implement bug for analytics/ETL feature,"This task involves refactoring documentation related to analytics. Expected steps: write tests, refactor, deploy.",2025-08-25 04:23:26,2025-09-24 04:23:26,15.2,13.1,,blocked,feature,high,33.33,"backend,ci,perf",49.0,30,1
TASK-1010,Refactor optimization in UI/dashboard,"This task involves refactoring a new feature related to UI. Expected steps: investigation, fix, release.",2025-09-09 10:17:33,2025-09-29 10:17:33,17.5,20.3,user_18,blocked,feature,high,34.56,"api,perf",54.0,20,1
TASK-1011,Research feature for payment/endpoint improvement,"This task involves fixing documentation related to payment. Expected steps: analysis, design, implementation, testing.",2025-09-11 05:56:58,2025-09-19 05:56:58,23.9,20.6,user_23,in_progress,feature,high,37.62,api,4.3,8,1
TASK-1012,Implement feature for database/user profile feature,"This task involves refactoring a new feature related to database. Expected steps: write tests, refactor, deploy.",2025-08-31 21:19:31,2025-09-16 21:19:31,32.5,28.0,user_4,in_progress,documentation,high,42.12,"frontend,backend",3.6,16,1
TASK-1013,Update feature documentation for notifications/checkout,"This task involves implementing a new feature related to notifications. Expected steps: write tests, refactor, deploy.",2025-08-28 19:17:55,2025-09-03 19:17:55,11.9,12.8,user_30,open,research,high,42.87,"security,frontend,backend",55.6,6,1
TASK-1014,Implement optimization for UI/search ranking feature,"This task involves researching a new feature related to UI. Expected steps: write tests, refactor, deploy.",2025-09-20 16:07:34,2025-09-26 16:07:34,15.8,6.7,,open,maintenance,high,33.09,"security,perf,bugfix",11.4,6,1
TASK-1015,Implement refactor for auth/reporting feature,"This task involves fixing documentation related to auth. Expected steps: analysis, design, implementation, testing.",2025-08-26 02:28:11,2025-09-11 02:28:11,20.6,9.9,,open,research,high,41.02,backend,35.7,16,1
TASK-1016,Update bug documentation for API/search ranking,"This task involves refactoring a new feature related to API. Expected steps: analysis, design, implementation, testing.",2025-09-12 04:19:19,2025-09-26 04:19:19,26.6,22.1,user_11,done,feature,high,37.67,"docs,research",23.7,14,1
TASK-1017,Update doc update documentation for database/user profile,"This task involves fixing a bug related to database. Expected steps: write tests, refactor, deploy.",2025-09-12 05:36:07,2025-10-01 05:36:07,39.8,27.7,user_7,in_progress,feature,high,39.13,docs,22.2,19,1
TASK-1018,Implement doc update for profile/ETL feature,"This task involves refactoring an API change related to profile. Expected steps: analysis, design, implementation, testing.",2025-09-13 15:13:44,2025-10-01 15:13:44,12.7,13.9,user_29,open,bug,high,32.99,"security,bugfix,research",16.9,18,1
TASK-1019,Implement doc update for notifications/endpoint feature,"This task involves refactoring performance improvement related to notifications. Expected steps: investigation, fix, release.",2025-09-20 18:12:34,2025-10-18 18:12:34,3.0,2.2,user_27,open,bug,high,19.77,research,9.7,28,1
TASK-1020,Research refactor for analytics/search ranking improvement,"This task involves fixing a bug related to analytics. Expected steps: analysis, design, implementation, testing.",2025-09-21 22:48:14,2025-10-14 22:48:14,36.3,20.9,user_27,open,research,high,27.5,frontend,18.5,23,1
TASK-1021,Fix feature in notifications/endpoint module,"This task involves updating a bug related to notifications. Expected steps: investigation, fix, release.",2025-09-17 00:03:04,2025-10-16 00:03:04,35.1,50.5,,in_progress,feature,high,30.34,db,1.5,29,1
TASK-1022,Update feature documentation for notifications/search ranking,"This task involves writing a new feature related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-05 01:47:50,2025-09-07 01:47:50,34.5,32.2,user_27,done,documentation,high,46.93,docs,1.4,2,1
TASK-1023,Implement doc update for search/email flow feature,"This task involves fixing documentation related to search. Expected steps: investigation, fix, release.",2025-09-12 20:14:03,2025-09-25 20:14:03,27.5,28.1,user_11,done,bug,high,38.89,"bugfix,research",2.3,13,1
TASK-1024,Refactor doc update in search/email flow,"This task involves researching an API change related to search. Expected steps: analysis, design, implementation, testing.",2025-09-05 03:42:29,2025-09-24 03:42:29,8.4,4.8,user_14,open,research,high,35.11,"docs,api,db",4.2,19,1
TASK-1025,Update doc update documentation for notifications/reporting,"This task involves updating a bug related to notifications. Expected steps: investigation, fix, release.",2025-09-08 19:29:44,2025-09-30 19:29:44,16.9,14.1,user_10,in_progress,feature,high,31.98,"bugfix,research",24.4,22,1
TASK-1026,Fix feature in database/schema module,"This task involves researching an API change related to database. Expected steps: investigation, fix, release.",2025-09-07 13:09:32,2025-09-22 13:09:32,27.3,28.2,user_26,done,feature,high,39.75,"security,api",5.6,15,1
TASK-1027,Implement feature for database/endpoint feature,"This task involves implementing a bug related to database. Expected steps: analysis, design, implementation, testing.",2025-08-31 22:39:14,2025-09-16 22:39:14,24.8,16.2,user_15,in_progress,research,high,39.43,"db,perf,ci",14.6,16,1
TASK-1028,Update optimization documentation for auth/checkout,"This task involves implementing a new feature related to auth. Expected steps: write tests, refactor, deploy.",2025-08-26 02:31:28,2025-09-03 02:31:28,36.8,40.9,user_5,blocked,research,high,52.8,"api,perf,db",49.8,8,1
TASK-1029,Refactor optimization in profile/dashboard,"This task involves researching documentation related to profile. Expected steps: design, implementation.",2025-09-18 19:04:07,2025-09-27 19:04:07,30.9,25.3,user_21,open,maintenance,high,34.57,"docs,research",20.2,9,1
TASK-1030,Refactor feature in payment/dashboard,"This task involves implementing performance improvement related to payment. Expected steps: design, implementation.",2025-09-14 18:59:21,2025-09-17 18:59:21,17.2,15.7,user_15,in_progress,feature,high,40.6,"ci,frontend",51.4,3,1
TASK-1031,Refactor bug in search/user profile,"This task involves writing documentation related to search. Expected steps: write tests, refactor, deploy.",2025-09-19 04:50:59,2025-10-16 04:50:59,17.3,14.2,user_18,blocked,feature,high,24.9,"db,perf",1.7,27,1
TASK-1032,Write optimization for search/dashboard,"This task involves implementing an API change related to search. Expected steps: analysis, design, implementation, testing.",2025-09-20 19:21:22,2025-10-09 19:21:22,23.0,35.8,user_21,in_progress,maintenance,high,27.51,"db,api",12.7,19,1
TASK-1033,Write doc update for notifications/search ranking,"This task involves researching documentation related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-07 16:59:18,2025-10-01 16:59:18,22.0,21.9,,open,bug,high,34.31,"frontend,ci,docs",12.0,24,1
TASK-1034,Fix feature in reports/dashboard module,"This task involves implementing performance improvement related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-10 12:25:31,2025-09-17 12:25:31,19.1,13.0,user_12,open,research,high,42.14,"backend,bugfix,research",6.5,7,1
TASK-1035,Fix optimization in database/reporting module,"This task involves researching a new feature related to database. Expected steps: analysis, design, implementation, testing.",2025-09-11 08:40:40,2025-10-08 08:40:40,25.5,31.8,user_25,open,research,high,32.13,"frontend,api,db",39.7,27,1
TASK-1036,Fix bug in analytics/email flow module,"This task involves researching performance improvement related to analytics. Expected steps: analysis, design, implementation, testing.",2025-09-06 14:30:15,2025-09-18 14:30:15,25.8,16.4,user_23,open,feature,high,41.33,"research,security,perf",27.9,12,1
TASK-1037,Update doc update documentation for reports/schema,"This task involves implementing a bug related to reports. Expected steps: investigation, fix, release.",2025-09-20 01:08:30,2025-09-28 01:08:30,30.3,32.2,user_22,open,bug,high,36.53,"bugfix,perf",12.7,8,1
TASK-1038,Write refactor for notifications/schema,"This task involves updating documentation related to notifications. Expected steps: analysis, design, implementation, testing.",2025-09-09 02:20:20,2025-09-16 02:20:20,4.3,1.8,user_16,in_progress,feature,high,38.31,"perf,ci,frontend",5.6,7,1
TASK-1039,Implement doc update for search/endpoint feature,"This task involves updating an API change related to search. Expected steps: investigation, fix, release.",2025-09-07 19:06:53,2025-09-24 19:06:53,14.4,8.7,,in_progress,documentation,high,35.89,"research,ci",13.8,17,1
TASK-1040,Update bug documentation for API/email flow,"This task involves updating an API change related to API. Expected steps: design, implementation.",2025-08-30 08:16:36,2025-09-23 08:16:36,19.9,21.1,user_25,in_progress,documentation,high,39.38,research,13.6,24,1
TASK-1041,Implement refactor for database/login flow feature,"This task involves implementing documentation related to database. Expected steps: analysis, design, implementation, testing.",2025-09-22 19:51:35,2025-10-10 19:51:35,12.4,15.1,,in_progress,maintenance,high,24.49,ci,17.1,18,1
TASK-1042,Research feature for profile/email flow improvement,"This task involves fixing documentation related to profile. Expected steps: write tests, refactor, deploy.",2025-08-28 00:30:36,2025-08-31 00:30:36,16.6,17.5,user_21,in_progress,feature,high,46.07,"research,backend,docs",7.1,3,1
TASK-1043,Research refactor for reports/reporting improvement,"This task involves implementing an API change related to reports. Expected steps: write tests, refactor, deploy.",2025-09-07 02:44:16,2025-09-22 02:44:16,12.6,12.2,user_14,open,research,high,33.82,"backend,docs,security",15.9,15,1
TASK-1044,Fix feature in UI/endpoint module,"This task involves refactoring a bug related to UI. Expected steps: design, implementation.",2025-08-24 16:17:38,2025-09-08 16:17:38,27.9,25.4,user_2,open,documentation,high,46.59,"backend,docs",55.4,15,1
TASK-1045,Update optimization documentation for reports/endpoint,"This task involves fixing an API change related to reports. Expected steps: design, implementation.",2025-09-13 00:39:51,2025-10-13 00:39:51,11.4,6.3,user_2,open,documentation,high,25.76,"research,perf,backend",28.1,30,1
TASK-1046,Write refactor for search/schema,"This task involves refactoring performance improvement related to search. Expected steps: write tests, refactor, deploy.",2025-08-27 00:17:08,2025-08-29 00:17:08,35.7,28.0,user_20,open,bug,high,51.28,"ci,frontend,research",34.6,2,1
TASK-1047,Implement optimization for profile/ETL feature,"This task involves writing a new feature related to profile. Expected steps: write tests, refactor, deploy.",2025-09-12 15:24:44,2025-09-28 15:24:44,38.8,33.4,user_14,open,bug,high,39.55,"db,perf",17.3,16,1
TASK-1048,Research optimization for analytics/login flow improvement,"This task involves fixing documentation related to analytics. Expected steps: investigation, fix, release.",2025-09-03 07:07:28,2025-09-28 07:07:28,16.8,22.1,user_1,in_progress,research,high,33.67,docs,31.1,25,1
TASK-1049,Refactor bug in profile/user profile,"This task involves implementing documentation related to profile. Expected steps: design, implementation.",2025-09-21 10:17:30,2025-10-06 10:17:30,35.4,39.0,user_1,done,research,high,35.08,"bugfix,research,frontend",33.1,15,1
TASK-1050,Fix optimization in API/checkout module,"This task involves fixing a new feature related to API. Expected steps: write tests, refactor, deploy.",2025-09-21 13:52:39,2025-10-01 13:52:39,20.8,9.8,user_27,in_progress,maintenance,high,31.88,"bugfix,db,docs",55.3,10,1
TASK-1051,Refactor doc update in UI/checkout,"This task involves researching documentation related to UI. Expected steps: investigation, fix, release.",2025-09-18 05:09:46,2025-09-28 05:09:46,29.3,32.1,user_19,done,maintenance,high,38.19,"security,perf",20.7,10,1
TASK-1052,Refactor optimization in analytics/search ranking,"This task involves writing a new feature related to analytics. Expected steps: design, implementation.",2025-09-10 18:03:42,2025-09-18 18:03:42,34.4,30.4,user_11,in_progress,maintenance,high,41.31,"bugfix,perf,frontend",7.6,8,1
TASK-1053,Refactor optimization in notifications/checkout,"This task involves fixing an API change related to notifications. Expected steps: write tests, refactor, deploy.",2025-08-25 01:25:03,2025-08-30 01:25:03,17.0,13.5,user_5,open,documentation,high,47.59,"db,backend,api",51.1,5,1
TASK-1054,Refactor optimization in search/email flow,"This task involves refactoring a bug related to search. Expected steps: analysis, design, implementation, testing.",2025-08-31 15:24:07,2025-09-22 15:24:07,36.9,43.7,,in_progress,maintenance,high,42.77,"backend,perf,bugfix",41.6,22,1
TASK-1055,Fix bug in auth/email flow module,"This task involves writing documentation related to auth. Expected steps: investigation, fix, release.",2025-09-06 12:27:42,2025-09-14 12:27:42,21.7,28.4,user_26,open,feature,high,39.73,"ci,docs",29.9,8,1
TASK-1056,Refactor optimization in UI/endpoint,"This task involves updating documentation related to UI. Expected steps: write tests, refactor, deploy.",2025-09-01 06:12:09,2025-09-02 06:12:09,36.1,46.2,user_10,in_progress,feature,high,48.59,"ci,research",38.3,1,1
