task_id,task_title,task_description,priority,deadline,assigned_to,status,category,estimated_hours,created_at
1,Opportunity item indicate.,"Property agreement position. Decide hundred claim phone represent somebody building.
Point way whom.",Medium,2025-11-04,Shan,Pending,Documentation,9.7,2025-10-06 02:08:13
2,Wish article hand.,Listen forward young common nice image. Yeah vote admit or all. Weight way change station task guy.,Medium,2025-11-24,Dia,In Progress,Documentation,1.3,2025-10-22 13:50:40
3,Dinner system.,Require friend here back project accept party large.,High,2025-11-26,Dia,On Hold,Bug Fix,7.5,2025-10-03 15:11:00
4,Sort right parent.,"Director service kid want.
Third fish hospital hand not.
Tree sit well standard center term father return.",High,2025-11-21,Shan,In Progress,Feature,3.2,2025-10-05 05:23:17
5,Type knowledge question there drive.,Question difficult professor plan southern. My defense special soldier. Ago scene food first child.,High,2025-11-02,Shan,Completed,UI/UX,5.8,2025-10-11 19:53:32
6,Hundred fly morning billion.,Paper power fund first thousand. Sport head participant than.,Critical,2025-11-25,Dia,On Hold,UI/UX,6.9,2025-10-09 19:09:01
7,Language pass break.,Language how animal same. Across born maybe four across site worry. Affect information career.,Critical,2025-11-26,Akin,Completed,Bug Fix,9.7,2025-10-27 15:46:39
8,Minute management follow.,Material more build contain. Close century across after agent power energy. Explain life people skill.,Medium,2025-11-08,Jane,In Progress,Feature,2.7,2025-10-29 18:29:13
9,Study help.,Eye cut artist middle all establish.,Critical,2025-11-01,Jo,In Progress,UI/UX,2.6,2025-10-27 10:49:12
10,Tend national base.,Machine enter although these. Sign according when state various what building. Industry upon institution enter very.,High,2025-11-11,Jane,Completed,Documentation,4.4,2025-10-23 01:34:49
11,Marriage stock third late you.,Understand tree back make magazine believe difficult. Himself western design me measure production more cell.,Medium,2025-11-01,Shan,In Progress,Feature,4.7,2025-10-05 14:19:42
12,Deep their it.,Despite eight structure minute two attention hit area. By really fish guess election image build.,Low,2025-11-22,Akin,Pending,UI/UX,1.9,2025-10-18 02:25:42
13,Put value event.,"Day would understand. Such time raise plan position to on.
Play son significant current less.",Low,2025-11-01,Dia,Completed,Feature,6.6,2025-10-27 20:39:27
14,White any.,Role down what laugh everything laugh. Speech across consider watch matter.,Medium,2025-11-26,Jo,On Hold,UI/UX,5.6,2025-10-26 05:40:18
15,Talk box body southern.,Science who thing me maybe. Think region class attack picture soon.,High,2025-11-10,Akin,Pending,UI/UX,4.5,2025-10-25 18:07:00
16,View half role ahead.,Course major certain candidate a listen hit. Difficult responsibility region blood trade.,Medium,2025-11-05,Dia,Pending,Bug Fix,4.6,2025-10-20 12:43:27
17,Local eye personal.,Sit recognize meet. Certainly well should thank follow bank raise. Middle behavior through staff age.,Low,2025-11-01,Dia,Pending,Feature,3.5,2025-10-06 05:08:58
18,These doctor.,Leader it join provide. None true impact approach. Ready plan food quickly generation.,Low,2025-11-09,Akin,In Progress,UI/UX,6.8,2025-10-12 19:40:50
19,Including turn stand maybe.,Goal ago item others bit bit enjoy. Everyone it determine life simple.,Critical,2025-11-12,Akin,In Progress,Bug Fix,4.8,2025-10-09 17:44:15
20,Look here question important.,Include cut bad country. Too floor glass little research star else.,High,2025-11-06,Akin,Pending,Bug Fix,4.8,2025-10-17 08:33:20
21,Light five human.,Same he involve look. Employee sport still during likely strategy notice. Must forget rather.,Critical,2025-11-27,Akin,In Progress,Testing,5.0,2025-10-21 03:44:26
22,But who fear occur.,Management process sort until benefit. See suffer research suddenly husband season.,High,2025-11-06,Shan,In Progress,UI/UX,8.1,2025-10-17 18:04:26
23,Fast sense head month.,Voice everything nearly happen. Member choice end want. Two production next value.,High,2025-11-18,Akin,Pending,Feature,1.2,2025-10-02 09:42:13
24,Yourself hundred ahead.,Where knowledge nice. Could huge street media wish just drug.,Critical,2025-11-09,Akin,On Hold,Bug Fix,1.1,2025-10-13 22:33:57
25,Bad fish agency.,Take actually know receive her unit.,Critical,2025-11-25,Jane,In Progress,Documentation,2.7,2025-10-07 11:38:50
26,Where ball standard.,Plant cell free morning technology. Interesting new good any water arrive cell.,Critical,2025-11-15,Akin,On Hold,UI/UX,5.5,2025-10-03 04:25:34
27,Star edge car floor.,Personal citizen will president. Response money score business million thought. Outside want anyone produce view.,Critical,2025-11-22,Jo,Pending,Testing,2.5,2025-10-27 05:54:16
28,Old may staff.,"President Mr movement operation.
Language low create recognize second late activity.",Low,2025-11-24,Dia,In Progress,Bug Fix,6.2,2025-10-11 11:39:13
